fold,network,expert,hc_mean,adhd_mean,shift,n_hc,n_adhd
1,SMN,mlp,0.20857140661021809,0.19960705935955042,-0.008964347250667665,81,18
1,SMN,cheb,0.22452156172122484,0.23998992807335323,0.015468366352128393,81,18
1,SMN,gt,0.3214058147536384,0.3181586033768124,-0.003247211376825987,81,18
1,SMN,gcn,0.24550123807088828,0.2422444240914451,-0.0032568139794431905,81,18
1,DMN,mlp,0.20339733527766335,0.203143840862645,-0.000253494415018346,81,18
1,DMN,cheb,0.21042252985047705,0.22123119069470296,0.010808660844225909,81,18
1,DMN,gt,0.29730948621844067,0.2971892191304101,-0.00012026708803059005,81,18
1,DMN,gcn,0.2888706727528278,0.27843577828672195,-0.010434894466105848,81,18
1,FPN,mlp,0.20675700351043982,0.20985746383666992,0.003100460326230098,81,18
1,FPN,cheb,0.19337686749152194,0.198448268075784,0.005071400584262059,81,18
1,FPN,gt,0.3280990955270367,0.32615046368704903,-0.001948631839987669,81,18
1,FPN,gcn,0.2717670586742001,0.2655438284079234,-0.006223230266276691,81,18
1,DAN,mlp,0.1886239618430903,0.17977351033025313,-0.00885045151283717,81,18
1,DAN,cheb,0.2190013974905014,0.23486560334761933,0.015864205857117925,81,18
1,DAN,gt,0.33510221228187465,0.3282737036546071,-0.006828508627267527,81,18
1,DAN,gcn,0.25727244972446817,0.25708719425731236,-0.00018525546715580932,81,18
1,VN,mlp,0.18343879926351853,0.17305502957767907,-0.010383769685839456,81,18
1,VN,cheb,0.21301431825131545,0.23000870396693548,0.016994385715620036,81,18
1,VN,gt,0.3220286994804571,0.32768184940020245,0.005653149919745359,81,18
1,VN,gcn,0.2815182153825407,0.2692544336120288,-0.012263781770511906,81,18
1,LIN,mlp,0.18283691781538505,0.19210617078675163,0.009269252971366576,81,18
1,LIN,cheb,0.21935822860694226,0.22156282348765263,0.00220459488071037,81,18
1,LIN,gt,0.3103389732631636,0.31715865598784554,0.006819682724681919,81,18
1,LIN,gcn,0.2874659038620231,0.26917237374517655,-0.018293530116846535,81,18
1,SBN,mlp,0.18598527360109635,0.19394863645235694,0.007963362851260591,81,18
1,SBN,cheb,0.22851607461034515,0.2309675092498461,0.0024514346395009545,81,18
1,SBN,gt,0.31048726078904704,0.3160802804761463,0.005593019687099243,81,18
1,SBN,gcn,0.275011420065974,0.25900359120633865,-0.016007828859635365,81,18
1,VAN,mlp,0.20313889671255042,0.2066450640559196,0.003506167343369171,81,18
1,VAN,cheb,0.21605267660853303,0.2172186747193336,0.0011659981108005646,81,18
1,VAN,gt,0.3119585171893791,0.31428675684663987,0.0023282396572607555,81,18
1,VAN,gcn,0.26884993432480614,0.2618495167957412,-0.0070004175290649395,81,18
1,CBL,mlp,0.19031307855506,0.1750395380788379,-0.015273540476222092,81,18
1,CBL,cheb,0.22611199760878528,0.25661857591734993,0.030506578308564652,81,18
1,CBL,gt,0.31296537945299974,0.317345443699095,0.004380064246095272,81,18
1,CBL,gcn,0.27060957234582783,0.2509964663121435,-0.019613106033684324,81,18
2,SMN,mlp,0.23202925251454723,,,98,0
2,SMN,cheb,0.24709789622194914,,,98,0
2,SMN,gt,0.2710944155649263,,,98,0
2,SMN,gcn,0.2497784442135266,,,98,0
2,DMN,mlp,0.23295976966619492,,,98,0
2,DMN,cheb,0.24139645011449345,,,98,0
2,DMN,gt,0.26997099725567564,,,98,0
2,DMN,gcn,0.25567279223884853,,,98,0
2,FPN,mlp,0.26149518848681935,,,98,0
2,FPN,cheb,0.24993263960492854,,,98,0
2,FPN,gt,0.24557883307641867,,,98,0
2,FPN,gcn,0.24299334445778203,,,98,0
2,DAN,mlp,0.2468302242305814,,,98,0
2,DAN,cheb,0.24933402377123737,,,98,0
2,DAN,gt,0.2547612950509908,,,98,0
2,DAN,gcn,0.24907446804703498,,,98,0
2,VN,mlp,0.249906238396557,,,98,0
2,VN,cheb,0.25238715492340985,,,98,0
2,VN,gt,0.23965300619602203,,,98,0
2,VN,gcn,0.25805361097564505,,,98,0
2,LIN,mlp,0.2317526407387792,,,98,0
2,LIN,cheb,0.23057485949628206,,,98,0
2,LIN,gt,0.2608246573684167,,,98,0
2,LIN,gcn,0.2768478509114713,,,98,0
2,SBN,mlp,0.25166330973104556,,,98,0
2,SBN,cheb,0.24018300750425883,,,98,0
2,SBN,gt,0.26732431808296514,,,98,0
2,SBN,gcn,0.24082937304462707,,,98,0
2,VAN,mlp,0.2508703686144887,,,98,0
2,VAN,cheb,0.24387604347905334,,,98,0
2,VAN,gt,0.2668612679960776,,,98,0
2,VAN,gcn,0.2383923285773822,,,98,0
2,CBL,mlp,0.25154535594035166,,,98,0
2,CBL,cheb,0.23682888080270922,,,98,0
2,CBL,gt,0.2539801813509999,,,98,0
2,CBL,gcn,0.25764558798804577,,,98,0
3,SMN,mlp,0.19716912004001,0.19785729689257484,0.0006881768525648368,68,28
3,SMN,cheb,0.33048566474634056,0.32520835420915056,-0.005277310537189994,68,28
3,SMN,gt,0.25779466988409266,0.2615618657852922,0.0037671959011995604,68,28
3,SMN,gcn,0.21455055299927206,0.21537249588540616,0.0008219428861341027,68,28
3,DMN,mlp,0.22020943813464222,0.22266902934227667,0.0024595912076344484,68,28
3,DMN,cheb,0.3115349968566614,0.3061960296971457,-0.005338967159515706,68,28
3,DMN,gt,0.23202500777209506,0.23581354799015175,0.0037885402180566907,68,28
3,DMN,gcn,0.23623056665939443,0.23532140787158687,-0.0009091587878075624,68,28
3,FPN,mlp,0.23413192656110313,0.23650206465806273,0.002370138096959601,68,28
3,FPN,cheb,0.30083535874591155,0.29270339225019726,-0.008131966495714293,68,28
3,FPN,gt,0.22581201616455526,0.22189994369234353,-0.003912072472211731,68,28
3,FPN,gcn,0.23922070159631617,0.24889460791434556,0.00967390631802939,68,28
3,DAN,mlp,0.19243582491489017,0.19378518206732606,0.0013493571524358927,68,28
3,DAN,cheb,0.3335292957284871,0.3279494579349245,-0.005579837793562581,68,28
3,DAN,gt,0.23559444638736107,0.23607804306915822,0.0004835966817971493,68,28
3,DAN,gcn,0.23844044239205467,0.24218732810446192,0.0037468857124072497,68,28
3,VN,mlp,0.20060830826268478,0.20072806999087334,0.00011976172818856101,68,28
3,VN,cheb,0.31545299642226277,0.3221876983131681,0.006734701890905359,68,28
3,VN,gt,0.23031337362001925,0.236435454338789,0.00612208071876974,68,28
3,VN,gcn,0.2536253374727333,0.2406487949192524,-0.012976542553480908,68,28
3,LIN,mlp,0.20188659933560035,0.2061780590031828,0.004291459667582459,68,28
3,LIN,cheb,0.3305085524916649,0.3234190451247351,-0.007089507366929759,68,28
3,LIN,gt,0.2277469827848322,0.2298673072031566,0.002120324418324382,68,28
3,LIN,gcn,0.23985787656377344,0.2405356014413493,0.0006777248775758637,68,28
3,SBN,mlp,0.2142514301573529,0.2209340812904494,0.00668265113309649,68,28
3,SBN,cheb,0.3221875687732416,0.31116277085883276,-0.011024797914408857,68,28
3,SBN,gt,0.22287818088251002,0.22614712427769382,0.0032689433951837987,68,28
3,SBN,gcn,0.2406828287331497,0.24175602836268287,0.0010731996295331725,68,28
3,VAN,mlp,0.20737571137792923,0.21507545879908968,0.007699747421160447,68,28
3,VAN,cheb,0.31921182309879975,0.30584743512528284,-0.013364387973516911,68,28
3,VAN,gt,0.23755893439931028,0.23328686665211404,-0.00427206774719624,68,28
3,VAN,gcn,0.23585354361463995,0.24579025379249028,0.009936710177850333,68,28
3,CBL,mlp,0.20449454030569858,0.20328032012496675,-0.0012142201807318342,68,28
3,CBL,cheb,0.32174700630061764,0.3292715943285397,0.007524588027922052,68,28
3,CBL,gt,0.2371163856895531,0.24482285976409912,0.007706474074546027,68,28
3,CBL,gcn,0.23664206397884033,0.22262522737894738,-0.014016836599892946,68,28
4,SMN,mlp,0.20781478985692514,0.17856772989034653,-0.029247059966578615,66,30
4,SMN,cheb,0.3090744086287238,0.30186692674954735,-0.007207481879176469,66,30
4,SMN,gt,0.20164686215646332,0.19683290819327037,-0.004813953963192952,66,30
4,SMN,gcn,0.28146395177552197,0.32273244510094323,0.04126849332542126,66,30
4,DMN,mlp,0.19421355629509146,0.1987152963876724,0.004501740092580947,66,30
4,DMN,cheb,0.3009396723725579,0.2944706032673518,-0.0064690691052061156,66,30
4,DMN,gt,0.20875085100080026,0.20241667379935577,-0.006334177201444496,66,30
4,DMN,gcn,0.296095931846084,0.3043974325060844,0.008301500660000405,66,30
4,FPN,mlp,0.19659607722000638,0.19908574918905894,0.0024896719690525593,66,30
4,FPN,cheb,0.310141536322507,0.30650648673375447,-0.003635049588752548,66,30
4,FPN,gt,0.20899966155940836,0.20493050614992772,-0.004069155409480635,66,30
4,FPN,gcn,0.2842627330259843,0.28947726885477704,0.005214535828792721,66,30
4,DAN,mlp,0.20137701567375296,0.17525074904163676,-0.026126266632116202,66,30
4,DAN,cheb,0.30473505231467163,0.304736003279686,9.509650143457726e-07,66,30
4,DAN,gt,0.19589070727427801,0.19341967950264607,-0.0024710277716319395,66,30
4,DAN,gcn,0.297997232187878,0.3265935808420181,0.028596348654140125,66,30
4,VN,mlp,0.17181078818711365,0.1454455234110355,-0.026365264776078146,66,30
4,VN,cheb,0.3183300897027507,0.31019273499647776,-0.008137354706272915,66,30
4,VN,gt,0.197066659728686,0.17802158594131465,-0.019045073787371358,66,30
4,VN,gcn,0.3127924732186578,0.366340176264445,0.05354770304578721,66,30
4,LIN,mlp,0.17620928562951807,0.18272479126850757,0.006515505638989505,66,30
4,LIN,cheb,0.30000522100564203,0.2888111650943756,-0.011194055911266432,66,30
4,LIN,gt,0.2126461910930547,0.2016899511218071,-0.010956239971247589,66,30
4,LIN,gcn,0.311139314012094,0.3267741044362386,0.015634790424144618,66,30
4,SBN,mlp,0.16349989266106574,0.1611983587344487,-0.0023015339266170276,66,30
4,SBN,cheb,0.3060420480641452,0.29459778567155204,-0.011444262392593163,66,30
4,SBN,gt,0.23801991749893536,0.22535168776909512,-0.012668229729840247,66,30
4,SBN,gcn,0.29243816074096796,0.31885217825571693,0.026414017514748978,66,30
4,VAN,mlp,0.20178014356078525,0.1927482177813848,-0.009031925779400457,66,30
4,VAN,cheb,0.3088587143204429,0.30332887172698975,-0.005529842593453127,66,30
4,VAN,gt,0.22720122608271512,0.22074506183465323,-0.006456164248061891,66,30
4,VAN,gcn,0.26215992642171454,0.2831778680284818,0.021017941606767288,66,30
4,CBL,mlp,0.17504042499896252,0.144918734083573,-0.03012169091538952,66,30
4,CBL,cheb,0.2990803537946759,0.2884029517571131,-0.010677402037562789,66,30
4,CBL,gt,0.19314415256182346,0.17157280494769409,-0.021571347614129377,66,30
4,CBL,gcn,0.33273508196527307,0.39510551989078524,0.06237043792551217,66,30
5,SMN,mlp,0.1857388048095906,0.1719025546634519,-0.013836250146138707,47,37
5,SMN,cheb,0.31643017492395764,0.34323251005765554,0.026802335133697897,47,37
5,SMN,gt,0.2473660837462608,0.23540778458118433,-0.011958299165076458,47,37
5,SMN,gcn,0.250464954274766,0.24945717043167837,-0.0010077838430876396,47,37
5,DMN,mlp,0.15979104504940353,0.16008620689044123,0.00029516184103769993,47,37
5,DMN,cheb,0.31937658913592076,0.3169799044325545,-0.0023966847033662364,47,37
5,DMN,gt,0.25378925591073137,0.24846539908164256,-0.005323856829088813,47,37
5,DMN,gcn,0.26704313431648496,0.2744685149676091,0.007425380651124136,47,37
5,FPN,mlp,0.16169894565927218,0.1652663100410152,0.0035673643817430156,47,37
5,FPN,cheb,0.30580554426984585,0.30283169005368205,-0.002973854216163807,47,37
5,FPN,gt,0.2540408306299372,0.24792234680137115,-0.006118483828566057,47,37
5,FPN,gcn,0.27845470258530153,0.2839796680050927,0.005524965419791195,47,37
5,DAN,mlp,0.17219733589507163,0.16242180845221954,-0.009775527442852094,47,37
5,DAN,cheb,0.3082241675955184,0.33147912975904104,0.02325496216352263,47,37
5,DAN,gt,0.25361892898032007,0.24245880987193127,-0.011160119108388794,47,37
5,DAN,gcn,0.2659595954291364,0.26364027326171463,-0.0023193221674217557,47,37
5,VN,mlp,0.1539212676121833,0.13754860795027496,-0.016372659661908345,47,37
5,VN,cheb,0.3400071707177669,0.3847850690016875,0.04477789828392059,47,37
5,VN,gt,0.24011982692048905,0.22297458954759541,-0.01714523737289364,47,37
5,VN,gcn,0.26595176471040605,0.25469175424124746,-0.011260010469158588,47,37
5,LIN,mlp,0.1562058456400607,0.15761753030725423,0.001411684667193519,47,37
5,LIN,cheb,0.3382284958311852,0.3311668135024406,-0.007061682328744601,47,37
5,LIN,gt,0.24018952567526636,0.24020178978507584,1.2264109809478896e-05,47,37
5,LIN,gcn,0.2653761629728561,0.27101388895833817,0.005637725985482067,47,37
5,SBN,mlp,0.15811587933530194,0.1650576023636637,0.006941723028361768,47,37
5,SBN,cheb,0.33210615147935585,0.32301071366748296,-0.009095437811872886,47,37
5,SBN,gt,0.25455443973236896,0.24917061828278206,-0.005383821449586906,47,37
5,SBN,gcn,0.255223552280284,0.2627610882391801,0.007537535958896113,47,37
5,VAN,mlp,0.1606403234157156,0.15838268278418358,-0.0022576406315320263,47,37
5,VAN,cheb,0.3190896079895344,0.32194328066465017,0.0028536726751157704,47,37
5,VAN,gt,0.2645618053192788,0.2584109596303991,-0.006150845688879691,47,37
5,VAN,gcn,0.2557082857857359,0.2612630990711418,0.005554813285405913,47,37
5,CBL,mlp,0.15690490857083744,0.1462159907898387,-0.01068891778099873,47,37
5,CBL,cheb,0.3527065052631054,0.3840296888673628,0.0313231836042574,47,37
5,CBL,gt,0.2344514733933388,0.21722335750992228,-0.017228115883416523,47,37
5,CBL,gcn,0.25593713211252334,0.2525309924338315,-0.003406139678691855,47,37
